CNPJ_FUNDO,DENOM_SOCIAL,VL_PATRIM_LIQ
00.832.445/0001-38,ITAU RENDA FIXA REFERENCIADO DI - FDO DE INVEST EM COTAS DE FDOS DE INVEST,233907325.66
00.832.453/0001-84,CSHG DI FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,2679478.18
00.832.587/0001-03,BRB FUNDO DE INVESTIMENTO EM COTAS DE FI RF DI CRÉDITO PRIVADO LP HIPER - RESPONSABILIDADE LIMITADA,64281523.19
00.832.588/0001-40,FUNDO DE INVESTIMENTO EM RENDA FIXA BRB LIQUIDEZ,13354381.03
00.832.696/0001-12,SANTANDER RF CRESCIMENTO VIP FIC FI,27211736.91
00.833.458/0001-21,FUNDO DE INVESTIMENTO MULTIMERCADO TRIUNFO,41301588.06
00.834.072/0001-34,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA BETA RENDA FIXA REF DI LONGO PRAZO,148286223.9
00.834.074/0001-23,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA PRÁTICO RENDA FIXA CURTO PRAZO,13745183278.25
00.836.258/0001-22,FUNDO DE INVESTIMENTO MULTIMERCADO CHALLENGER,131295653.99
00.836.263/0001-35,BV EAGLE RENDA FIXA LONGO PRAZO FUNDO DE INVESTIMENTO,70475132.32
00.838.266/0001-08,BANESTES VITÓRIA 500 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REF DI,7559199.7
00.838.267/0001-52,BANESTES INVESTIDOR AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,76154499.02
00.838.269/0001-41,BANESTES INVEST MONEY FUNDO DE INVESTIMENTO RENDA FIXA,194725000.2
00.838.868/0001-65,ITAÚ PRIVATE SPECIAL MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO,6774458.53
00.840.008/0001-66,ITAÚ MULTIMERCADO MULTIMANAGER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,53956426.0
00.840.011/0001-80,BTG PACTUAL YIELD DI FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO CRÉDITO PRIVADO,6338630026.8
00.842.960/0001-07,BB BESC RENDA FIXA PREMIUM FUNDO DE INVESTIMENTO,40695527.34
00.846.898/0001-13,CHEMICAL FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,34163177.77
00.849.567/0001-37,SANTANDER PB HS MULTIMERCADO CRÉDITO PRIVADO FIC FI,83871318.36
00.852.311/0001-89,BB TOP DI RENDA FIXA REFERENCIADO DI LP FUNDO DE INVESTIMENTO,30088089044.66
00.856.171/0001-17,SANTANDER FUNDO DE INVESTIMENTO E MULTIMERCADO,133941347.16
00.856.751/0001-04,NÚCLEOS V WESTERN ASSET ALM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO,671082614.31
00.856.755/0001-92,SANTANDER RENDA FIXA REFERENCIADO DI MAIS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,1369463057.81
00.857.361/0001-59,BANPARA TRADICIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,11071798.91
00.885.758/0001-54,SANTANDER PB JATOBÁ RENDA FIXA CRÉDITO PRIVADO FUNDO DE INVESTIMENTO,68299106.89
00.885.760/0001-23,BRADESCO H FICFI RENDA FIXA REFERENCIADO DI LONGO PRAZO 50,101277509.9
00.885.762/0001-12,BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO TÍTULOS PÚBLICOS,704002708.89
00.888.897/0001-31,BTG PACTUAL HEDGE FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO,1885835969.03
00.893.531/0001-50,FAPA SENIOR FUNDO DE INVESTIMENTO MULTIMERCADO,165449443.61
00.906.044/0001-85,TEMPO CAPITAL MANACÁ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,565062836.51
00.947.958/0001-94,OPPORTUNITY MARKET FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,44833454.41
00.970.059/0001-02,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA EMPRESA,61197446.85
00.970.074/0001-50,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO UNIÃO,8050160003.06
00.973.117/0001-51,ITAÚ INSTITUCIONAL MULTIMERCADO JUROS E MOEDAS FUNDO DE INVESTIMENTO EM COTAS DE FI,107280400.95
00.974.902/0001-29,FIVESTARS PREV FUNDO DE INVESTIMENTO MULTIMERCADO,382638970.17
00.975.480/0001-06,BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO,659428118.7
00.977.449/0001-04,GERDAU PREVIDÊNCIA FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO 1,663006975.36
00.979.181/0001-40,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA SOMA,2656185.87
00.982.697/0001-43,BB ALFA FUNDO DE INVEST EM COTAS DE FUNDO DE INVEST. RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO,103671452.1
00.996.200/0001-46,FUNDO DE INVESTIMENTO DE AÇÕES SALINE - INVESTIMENTO NO EXTERIOR,23603989.23
01.045.435/0001-15,WESTERN ASSET MULTIRENDA 10 FIC FI MULTIMERCADO,1017852.24
01.045.437/0001-04,WESTERN ASSET MULTIRENDA 20 FIC FI MULTIMERCADO,1701573.12
01.063.897/0001-65,ITAÚ SMALL CAP VALUATION FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,346602579.74
01.069.185/0001-53,IU BNP PARIBAS CORPORATE VI - FUNDO DE INVESTIMENTO RENDA FIXA,30217496.4
01.071.664/0001-04,NAZARIO FUNDO DE INVESTIMENTO EM AÇÕES,10903820.95
01.099.040/0001-03,UNIVERSAL P FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,27016522.5
01.103.103/0001-40,FI EM QUOTAS DE FI MULTIMERCADO CREDITO PRIVADO BALANCED GROWTH INVESTIMENTO NO EXTERIOR,6932243.36
01.107.772/0001-90,CONCÓRDIA EXTRA FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO,43198417.39
01.111.801/0001-97,CONFIANÇA G FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,1130738607.82
01.114.310/0001-08,BRADESCO H FICFI RENDA FIXA LONGO PRAZO PLUS,42928078.96
01.129.004/0001-37,ITAÚ EMPRESA TRUST RENDA FIXA REFERENCIADO DI - FDO DE INVESTIMENTO EM COTAS DE FDOS DE INVESTIMENTO,28685898680.16
